,機關名稱,子目名稱,"('期初轉入數', 106)","('期初轉入數', 107)","('期初轉入數', 108)","('支用數', 106)","('支用數', 107)","('支用數', 108)",106支用率,107支用率,108支用率
7606,花蓮縣立自強國民中學,應付代收款-其他-仁愛基金,659112.0,659112.0,640112.0,0.0,19000.0,24582.0,0.0,0.028826663753656435,0.03840265453545629
7729,花蓮縣立花崗國民中學,應付代代收款-其他-贊助體育活動費用,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
7735,花蓮縣立花崗國民中學,應付代收款-代收代付-劉克昌.莊金法獎學金利息,16908.0,19133.0,21323.0,0.0,0.0,0.0,0.0,0.0,0.0
7743,花蓮縣立花崗國民中學,應付代收款-其他-仁愛基金,45617.0,45617.0,45617.0,0.0,0.0,0.0,0.0,0.0,0.0
7769,花蓮縣立花崗國民中學,應付代收款-其他-獎學金定期存單,200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
7776,花蓮縣立花崗國民中學,應付代收款-其他-贊助音樂班費用,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
7777,花蓮縣立花崗國民中學,應付代收款-其他-足球隊捐助款,58980.0,108980.0,108980.0,0.0,0.0,0.0,0.0,0.0,0.0
7969,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-中華民國高級中等學校體育總會,24000.0,24000.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0
7970,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-倪宏盛捐助校務推動基金,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
7972,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-創為精密材料公司,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
7974,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-四健會收入,28649.0,28649.0,28649.0,0.0,0.0,0.0,0.0,0.0,0.0
7976,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-學生捐款,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0
7980,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-張倪國華麥當勞捐贈餐費,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
7981,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-慈濟衣款,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
7982,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-李秀珍等10人捐助,4525.0,4525.0,4525.0,0.0,0.0,0.0,0.0,0.0,0.0
7983,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-林振榮等7人捐助,587.0,587.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0
7984,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-棒球獎勵金,7200.0,7200.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0
7985,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-潭子彩虹獅子會捐助足球隊經費,20000.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
7986,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-獎品代金,15139.0,15139.0,14845.0,0.0,294.0,0.0,0.0,0.019420040953827863,0.0
7988,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-王素霞捐助獎學金,20000.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
7989,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-生光獎金,4803.0,4803.0,4803.0,0.0,0.0,0.0,0.0,0.0,0.0
7991,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-足球協會,17600.0,17600.0,17600.0,0.0,0.0,0.0,0.0,0.0,0.0
7992,花蓮縣立萬榮國民中學,應付代收款-非政府機關委託補助-長青獅子會,3700.0,3700.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
8006,花蓮縣立豐濱國民中學,應付代收款-其他-教育儲蓄專戶,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8141,花蓮縣立體育實驗高級中學,應付代收款-教育處委託補助-100年以前-國中生升當地高中職獎學金,30000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0
8189,花蓮縣立體育實驗高級中學,應付代收款-非政府機關委託補助-棒球隊專用捐款,500.0,68050.0,71050.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,花蓮縣立體育實驗高級中學,應付代收款-非政府機關委託補助-私立逢甲大學捐款,5061.0,5061.0,5061.0,0.0,0.0,0.0,0.0,0.0,0.0
8215,花蓮縣立鳳林國民中學,應付代收款-其他-運動會贊助禮金,19390.0,0.0,19390.0,0.0,0.0,0.0,0.0,0.0,0.0
8218,花蓮縣立鳳林國民中學,應付代收款-其他政府機關委託補助-廣西省柳州市-捐贈辦理文化教育活動,32500.0,0.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0
8230,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-利息收入,0.0,0.0,25194.0,0.0,0.0,0.0,0.0,0.0,0.0
8232,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-勸募款,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0
8234,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-涂鴻生獎助學金,0.0,0.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0
8235,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-清寒學生獎助學金-楊世瑜,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0
8238,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-阿旺坡旺伯(沈甄琪)清寒獎學金,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
8239,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-阿旺坡旺伯(郭彩玉)清寒獎學金,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
8240,花蓮縣立鳳林國民中學,應付代收款-教育儲蓄專戶-除障看本舖捐助,0.0,0.0,70380.0,0.0,0.0,0.0,0.0,0.0,0.0
